Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
mol_66_0_4	mol_66	0.425	0.293	0.132	0.699	0.464	0.235	0.674	0.444	0.23	1716.654
mol_19_0_1	mol_19	0.425	0.321	0.104	0.654	0.472	0.182	0.696	0.501	0.195	1946.684
mol_5_0_3	mol_5	0.4	0.264	0.136	0.666	0.423	0.243	0.648	0.412	0.237	1591.306
mol_44_0_0	mol_44	0.391	0.313	0.078	0.65	0.499	0.15	0.595	0.456	0.14	1756.304
mol_5_0_1	mol_5	0.389	0.311	0.077	0.628	0.483	0.146	0.609	0.467	0.142	1805.635
mol_72_0_2	mol_72	0.372	0.273	0.099	0.599	0.424	0.175	0.62	0.433	0.187	1677.594
mol_58_0_1	mol_58	0.368	0.278	0.09	0.613	0.444	0.169	0.587	0.426	0.161	1647.36
mol_44_0_3	mol_44	0.361	0.28	0.081	0.613	0.458	0.155	0.563	0.419	0.144	1613.222
mol_55_0_4	mol_55	0.358	0.282	0.075	0.549	0.416	0.134	0.615	0.468	0.147	1826.642
mol_32_0_4	mol_32	0.356	0.252	0.104	0.605	0.414	0.191	0.578	0.391	0.186	1511.379
mol_21_0_2	mol_21	0.351	0.237	0.114	0.596	0.397	0.199	0.581	0.371	0.21	1431.543
mol_16_0_2	mol_16	0.348	0.265	0.083	0.558	0.415	0.143	0.588	0.423	0.165	1640.042
mol_21_0_0	mol_21	0.348	0.306	0.042	0.563	0.484	0.078	0.536	0.454	0.082	1751.195
mol_32_0_0	mol_32	0.347	0.279	0.068	0.578	0.448	0.13	0.55	0.424	0.126	1636.92
mol_31_0_4	mol_31	0.346	0.283	0.063	0.563	0.451	0.111	0.558	0.433	0.125	1671.245
mol_31_0_1	mol_31	0.343	0.26	0.083	0.567	0.422	0.145	0.567	0.404	0.163	1560.981
mol_28_0_0	mol_28	0.343	0.286	0.057	0.546	0.439	0.107	0.56	0.45	0.11	1744.297
mol_39_0_3	mol_39	0.34	0.236	0.104	0.584	0.391	0.193	0.557	0.374	0.183	1444.567
mol_39_0_4	mol_39	0.337	0.244	0.093	0.576	0.402	0.174	0.55	0.384	0.165	1484.545
mol_21_0_3	mol_21	0.334	0.252	0.082	0.565	0.417	0.149	0.545	0.389	0.156	1501.377
mol_38_0_4	mol_38	0.334	0.271	0.063	0.525	0.411	0.114	0.567	0.444	0.123	1726.161
mol_98_0_4	mol_98	0.332	0.276	0.056	0.524	0.423	0.101	0.554	0.443	0.112	1718.349
mol_95_0_3	mol_95	0.326	0.278	0.048	0.534	0.441	0.092	0.519	0.428	0.09	1656.481
mol_22_0_1	mol_22	0.325	0.287	0.038	0.544	0.467	0.077	0.498	0.427	0.071	1646.793
mol_57_0_2	mol_57	0.323	0.242	0.082	0.548	0.395	0.153	0.533	0.384	0.149	1483.974
mol_13_0_4	mol_13	0.322	0.232	0.091	0.546	0.378	0.168	0.538	0.374	0.164	1448.71
mol_28_0_3	mol_28	0.321	0.221	0.1	0.537	0.357	0.18	0.552	0.367	0.185	1422.438
mol_101_0_4	mol_101	0.319	0.258	0.061	0.544	0.425	0.119	0.506	0.396	0.11	1528.518
mol_69_0_1	mol_69	0.317	0.259	0.057	0.528	0.421	0.107	0.513	0.404	0.109	1560.086
mol_17_0_4	mol_17	0.316	0.252	0.064	0.531	0.409	0.122	0.515	0.396	0.119	1531.138
mol_56_0_3	mol_56	0.315	0.275	0.04	0.534	0.453	0.081	0.486	0.412	0.075	1585.789
mol_71_0_2	mol_71	0.315	0.245	0.071	0.533	0.399	0.134	0.518	0.387	0.13	1497.63
mol_36_0_4	mol_36	0.314	0.267	0.047	0.519	0.428	0.091	0.505	0.416	0.089	1608.875
mol_87_0_4	mol_87	0.314	0.287	0.027	0.507	0.454	0.053	0.491	0.439	0.052	1696.295
mol_14_0_1	mol_14	0.314	0.254	0.06	0.538	0.423	0.116	0.499	0.388	0.112	1495.297
mol_73_0_4	mol_73	0.313	0.252	0.061	0.517	0.4	0.117	0.517	0.404	0.114	1564.305
mol_48_0_4	mol_48	0.312	0.239	0.073	0.509	0.376	0.133	0.536	0.396	0.14	1536.992
mol_69_0_0	mol_69	0.312	0.242	0.07	0.527	0.397	0.131	0.515	0.382	0.133	1476.088
mol_75_0_2	mol_75	0.311	0.207	0.103	0.525	0.34	0.185	0.537	0.347	0.19	1346.666
mol_65_0_1	mol_65	0.31	0.246	0.063	0.519	0.403	0.116	0.51	0.387	0.122	1496.717
mol_26_0_3	mol_26	0.308	0.258	0.05	0.513	0.417	0.096	0.498	0.405	0.094	1563.71
mol_89_0_4	mol_89	0.308	0.285	0.023	0.517	0.468	0.048	0.464	0.421	0.043	1620.72
mol_74_0_0	mol_74	0.308	0.214	0.094	0.516	0.346	0.17	0.534	0.36	0.174	1396.272
mol_51_0_0	mol_51	0.307	0.232	0.075	0.529	0.386	0.143	0.505	0.369	0.136	1424.728
mol_66_0_1	mol_66	0.307	0.271	0.036	0.507	0.437	0.07	0.485	0.417	0.068	1610.567
mol_65_0_0	mol_65	0.306	0.266	0.04	0.505	0.43	0.075	0.492	0.412	0.08	1590.88
mol_9_0_3	mol_9	0.306	0.249	0.057	0.535	0.421	0.114	0.482	0.378	0.103	1457.182
mol_31_0_0	mol_31	0.305	0.264	0.041	0.502	0.428	0.074	0.493	0.409	0.083	1581.856
mol_71_0_1	mol_71	0.305	0.232	0.073	0.521	0.383	0.138	0.505	0.37	0.135	1431.825
